id_0,iso,name_0,id_1,name_1,id_2,name_2,id_3,name_3,type_3,engtype_3,nl_name_3,varname_3
"250",VNM,Vietnam,"2",Đồng Nai,"8",Định Quán,"55",La Ngà,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"8",Định Quán,"56",Ngọc Định,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"8",Định Quán,"57",Phú Cường,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"8",Định Quán,"58",Phú Hoà,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"8",Định Quán,"59",Phú Lợi,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"8",Định Quán,"60",Phú Ngọc,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"8",Định Quán,"61",Phú Tân,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"8",Định Quán,"62",Phú Túc,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"8",Định Quán,"63",Phú Vinh,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"8",Định Quán,"64",Suối Nho,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"8",Định Quán,"65",Túc Trưng,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"8",Định Quán,"66",Thánh Sơn,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"67",An Bình,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"68",Bửu Hòa,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"69",Bửu Long,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"70",Bình Đa,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"71",Hố Nai,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"72",Hòa Bình,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"73",Hóa An,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"74",Hiệp Hòa,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"75",Long Bình Tân,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"76",Long Bình,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"77",Quang Vinh,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"78",Quyết Thắng,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"79",Tân Biên,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"80",Tân Hòa,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"81",Tân Hạnh,Commune,Commune,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"82",Tân Hiệp,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"83",Tân Mai,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"84",Tân Phong,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"85",Tân Tiến,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"86",Tân Vạn,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"87",Tam Hòa,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"88",Tam Hiệp,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"89",Thánh Bình,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"90",Thống Nhất,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"91",Trảng Dài,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"9",Bien Hoa,"92",Trung Dũng,Ward,Ward,,
"250",VNM,Vietnam,"2",Đồng Nai,"10",Cẩm Mỹ,"93",Bảo Bình,Commune,Commune,,
