id_0,iso,name_0,id_1,name_1,id_2,name_2,type_2,engtype_2,nl_name_2,varname_2
"250",VNM,Vietnam,"7",An Giang,"64",Phú Tân,Huyện,District,,Phu Tan
"250",VNM,Vietnam,"7",An Giang,"65",Tân Châu,Huyện,District,,Tan Chau
"250",VNM,Vietnam,"7",An Giang,"66",Tịnh Biên,Huyện,District,,Tinh Bien
"250",VNM,Vietnam,"7",An Giang,"67",Thoại Sơn,Huyện,District,,Thoai Son
"250",VNM,Vietnam,"7",An Giang,"68",Tri Tôn,Huyện,District,,Tri Ton
"250",VNM,Vietnam,"8",Bà Rịa - Vũng Tàu,"69",Đất Đỏ,Huyện,District,,Dat Do
"250",VNM,Vietnam,"8",Bà Rịa - Vũng Tàu,"70",Ba Ria,Thi xa,Township,,
"250",VNM,Vietnam,"8",Bà Rịa - Vũng Tàu,"71",Côn Đảo,Huyện,District,,Con Dao
"250",VNM,Vietnam,"8",Bà Rịa - Vũng Tàu,"72",Châu Đức,Huyện,District,,Chau Duc
"250",VNM,Vietnam,"8",Bà Rịa - Vũng Tàu,"73",Long Điền,Huyện,District,,Long Dien
"250",VNM,Vietnam,"8",Bà Rịa - Vũng Tàu,"74",Tân Thành,Huyện,District,,Tan Thanh
"250",VNM,Vietnam,"8",Bà Rịa - Vũng Tàu,"75",Vũng Tàu,Huyện,District,,Vung Tau
"250",VNM,Vietnam,"8",Bà Rịa - Vũng Tàu,"76",Xuyên Mộc,Huyện,District,,Xuyen Moc
"250",VNM,Vietnam,"9",Bình Định,"77",An Lão,Huyện,District,,An Lao
"250",VNM,Vietnam,"9",Bình Định,"78",An Nhơn,Huyện,District,,An Nhon
"250",VNM,Vietnam,"9",Bình Định,"79",Hoài Ân,Huyện,District,,Hoai an
"250",VNM,Vietnam,"9",Bình Định,"80",Hoài Nhơn,Huyện,District,,Hoai Nhon
"250",VNM,Vietnam,"9",Bình Định,"81",Phù Cát,Huyện,District,,Phu Cat
"250",VNM,Vietnam,"9",Bình Định,"82",Phù Mỹ,Huyện,District,,Phu My
"250",VNM,Vietnam,"9",Bình Định,"83",Qui Nhơn,Than Pho,City,,Quy Nhon |Qui Nhon
"250",VNM,Vietnam,"9",Bình Định,"84",Tây Sơn,Huyện,District,,Tay Son
"250",VNM,Vietnam,"9",Bình Định,"85",Tuy Phước,Huyện,District,,Tuy Phuoc
"250",VNM,Vietnam,"9",Bình Định,"86",Vĩnh Thạnh,Huyện,District,,Vinh Thanh
"250",VNM,Vietnam,"9",Bình Định,"87",Van Canh,Huyện,District,,
"250",VNM,Vietnam,"10",Bình Dương,"88",Bến Cát,Huyện,District,,Ben Cat
"250",VNM,Vietnam,"10",Bình Dương,"89",Dau Tieng,Huyện,District,,
